Words,Length,AROU,CNC,SIZE
,,M,M,M
drill (tool),5,3.629,6.515,3.441
drive,5,4.813,4.818,4
drive (car),5,5.529,5.818,4.353
drive (motivation),5,6.375,2.849,5.242
drop,4,3.606,4.294,3.485
drop (fall),4,4.469,4.813,4.355
drop (rain),4,3.765,5.886,1.471
dropped,7,3.8,4.727,3.515
drought,7,3.688,5.188,5
drown,5,4.647,4.735,4.441
drug,4,5.886,5.6,4.114
drugged,7,4.471,4.324,4.412
drum,4,5.419,6.655,3.774
drummer,7,5.457,6,4.394
drums,5,6.172,6.7,4.281
drunk,5,5.794,4.343,4.657
dubious,7,4.167,2.161,4.032
duck,4,4.4,6.571,2.714
duck (bird),4,3.121,6.788,2.636
duck (cricket),4,2.793,4,3.333
duck (crouch),4,3.941,4.486,2.765
duet,4,4.667,4.548,3.485
duke,4,3.546,5.514,4.588
dull,4,2.057,3.139,2.943
dumb,4,3.546,2.969,3.344
dummy,5,3.206,4.849,2.813
dummy (idiot),5,3.229,3.457,3.303
dummy (mannequin),5,3.265,6.333,3.129
dummy (nipple),5,4,5.688,2.152
dump,4,3.618,4.412,3.765
dune,4,4.375,5.581,4.3
dung,4,2.818,6.152,2.765
dungeon,7,5.206,6.118,4.471
durable,7,4.647,3.177,4.943
dusk,4,4.471,4.324,3.857
dust,4,2.714,5.677,1.857
dustbin,7,2.094,6.727,2.774
duster,6,2.719,6.424,2.629
dustpan,7,2.281,6.294,2.771
dusty,5,3.667,4.788,2.625
duty,4,3.824,3.059,4.97
duvet,5,5.258,6.714,3.867
dwarf,5,4.484,6,2.219
dwell,5,3.484,3,3.807
dye,3,3.594,5.677,3.129
dying,5,5.853,3.212,5.152
dynamite,8,7.594,6.433,5.03
dynasty,7,5.188,4.097,5.813
eager,5,6.656,3.625,4.697
eagle,5,5.912,6.719,4.781
ear,3,3.471,6.853,2.059
earn,4,5.914,4.514,4.758
earphones,9,3.97,6.853,2.265
earth,5,4.765,6.636,5.939
earthquake,10,6.118,6.114,6.382
ease,4,4.314,2.829,3.882
easy,4,4.914,3.143,3.559
easygoing,9,4.563,2.879,3.939
eat,3,5.886,5.8,3.714
eatery,6,4.273,5.265,4.576
eccentric,9,6.5,2.594,5.033
economic,8,3.515,2.469,5.281
economy,7,4.455,3,6.156
ecstasy,7,6.971,4.031,4.735
ecstatic,8,7.697,2.794,5.765
edge,4,5.412,5.171,3.943
edifice,7,3.9,4.222,4.556
edit,4,3.706,3.853,2.97
edition,7,3.943,3.758,3.765
editor,6,4.031,5.636,3.667
educate,7,5.2,3.735,5.677
education,9,5.182,4.313,5.471
eel,3,3.559,6.576,2.735
eerie,5,5.559,2.813,4.206
efficient,9,5.088,2.735,4.735
effort,6,5.121,3.343,4.765
egg,3,3.371,6.412,2.029
ego,3,4.313,2.455,5.742
elaborate,9,4.788,2.469,4.971
elated,6,6.5,3.219,5.156
elation,7,6.515,2.733,5.097
elbow,5,3.677,6.75,2.781
elder,5,3.724,4.387,4.516
eldest,6,4.387,3.688,4.75
electric,8,6.5,4.394,4.5
electrician,11,3.313,6.387,4.194
electricity,11,5.849,5.353,4.914
electronic,10,4.939,5.097,4.559
elegant,7,6.212,2.531,4.516
elephant,8,4.864,6.891,5.692
elevator,8,4,6.286,4.588
elf,3,4.647,4.818,2.265
elite,5,5.941,3.706,4.606
elitist,7,5.031,3.429,4.824
elk,3,3.867,6.69,4.464
elm,3,3.882,6,4.788
elude,5,4.323,2.452,3.97
emancipation,12,5.655,3.111,5.464
embarrass,9,4.559,2.706,4.765
embarrassment,13,4.849,3.065,5.514
embezzle,8,4.967,2.939,4.645
embrace,7,6.636,4.735,5.177
emerald,7,5.767,5.9,3.031
emergency,9,6.576,4.061,6.121
emotion,7,5.969,2.625,5.094
emotional,9,6.364,2.515,4.839
empathy,7,5.382,2.303,4.636
emphasis,8,5.849,2.853,5.394
emphasize,9,5.882,3.061,5.419
empire,6,5.943,4.588,6.412
employ,6,4.485,3.794,4.177
employee,8,3.647,5.6,3.486
employer,8,3.677,6.088,4.794
employment,10,4.853,4.457,5.382
emporium,8,4.531,5.031,4.871
empty,5,3.097,2.5,3.469
enact,5,3.771,3,3.688
encore,6,5.719,3.719,4.871
encyclopedia,12,4.242,6.571,5.235
end,3,4.438,3.029,4.727
ending,6,3.647,3.618,4.438
endless,7,4.063,2.656,6.516
endure,6,4.059,3.206,4.771
engage,6,5.788,3.419,4.343
engaged,7,5.909,3.879,5
engagement,10,6.387,4.313,5.094
engaging,8,6.412,2.324,4.853
engine,6,4.294,6.371,4.588
engineer,8,3.844,6.265,4.394
enhance,7,5.971,3.091,5.212
enjoy,5,6.219,3.265,4.486
enjoyment,9,7.471,2.971,5.5
enquire,7,4.714,3.4,4.057
enquiry,7,3.879,3.364,3.323
enraged,7,6.686,3.143,5.543
ensure,6,3.765,2.457,4.294
entail,6,4.125,2.897,3.971
enter,5,4.794,4.114,3.943
enterprise,10,4.559,4,5.588
enthral,7,6.63,2.63,4.778
enthusiasm,10,6.912,2.818,5.515
enthusiastic,12,7.882,3.324,5.441
entitle,7,4.364,2.909,4.452
entrepreneur,12,5.53,4.576,5.046
entry,5,4.594,4.324,3.853
envelope,8,2.941,6.429,2.382
epidemic,8,6.294,3.375,6.788
episode,7,4.515,4.265,3.546
episodic,8,4.552,2.567,4.032
equal,5,4.364,2.771,4.206
equality,8,6.406,2.233,5.781
equipment,9,3.853,5.412,4.559
erase,5,3.469,3.546,3.323
erode,5,3.6,4.152,4.343
eroded,6,4.125,4.636,3.875
erotic,6,7.879,3.029,5.065
errand,6,3.29,4.438,3.29
error,5,4.5,3.313,4.063
eruption,8,7.2,5.571,6.147
escape,6,5.844,3.258,5.364
escaped,7,5.813,3.939,4.939
escapee,7,6.177,5.424,4.625
escort,6,4.543,4.314,4.375
essence,7,5.667,2.471,4.029
estate,6,4.029,5.727,5
estimate,8,2.97,3.2,3.765
ethnic,6,4.807,3.152,4.594
euphoria,8,7.818,1.97,6.265
evaluate,8,4.429,3.2,4.618
evangelist,10,4.25,3.645,4.067
even,4,3.429,3.235,3.286
even (odd),4,3.265,3.265,3.588
even (still),4,3.486,3.69,3.371
evening,7,4.914,5,4.177
event,5,5.5,4.123,5.303
ever,4,4.546,2.273,5.688
every,5,4.182,3.242,5.242
everything,10,5.735,2.943,6.455
evidence,8,4.515,4.909,4.273
evil,4,5.559,2.294,5.853
evoke,5,5.548,2.375,4.546
exact,5,3.882,3.6,3.441
exam,4,4.853,6.059,5.529
examination,11,5.618,5.457,5.257
excel,5,5.909,3.4,4.515
excellence,10,6.657,2.824,5.371
excellent,9,6.625,2.333,5.438
excited,7,7.882,2.618,5.177
excitement,10,7.697,3.029,5.909
exciting,8,7.606,3.091,5.281
exclaim,7,6.774,2.9,4.667
exclude,7,3.688,3.188,4.161
exclusion,9,4.029,3.618,4.455
excrement,9,4.061,6.406,3.594
excuse,6,4.25,2.727,3.849
execute,7,5.455,4.265,4.971
execute (accomplish),7,5.571,3.5,5.424
execute (kill),7,5.606,5.235,5.382
execution,9,5.514,4.97,5.667
executioner,11,6.091,5.686,5.324
exercise,8,6.265,4.971,4.853
exert,5,5.618,3.6,4.829
exertion,8,6,3.313,4.767
exhaust,7,4.125,4.273,4.375
exhausted,9,3.4,3.314,4.543
exhaustion,10,3.647,3.235,5.343
exhibit,7,4.706,4.2,4.576
exist,5,5.063,2.563,5.909
existence,9,5.912,3.028,5.886
expand,6,4.906,3.576,5.636
expanse,7,4.455,3.844,5.938
expedition,10,6.571,4.441,5.875
expel,5,4.647,4,4.188
expensive,9,6.059,3.647,5.257
experiment,10,5.625,4.618,4.882
expert,6,6.226,3.688,5.226
explain,7,4.294,3.229,4.171
exploration,11,7,3.441,5.882
explore,7,7.424,3.429,5.914
explorer,8,6.212,5.743,4.824
export,6,4,3.375,4.807
express,7,5.457,2.618,4.727
expression,10,5.406,2.75,4.903
exquisite,9,5.971,2.471,4.257
exterminate,11,5.774,3.849,5.152
extravagant,11,6.441,2.735,5.719
extreme,7,6.781,2.75,6
eye,3,3.886,6.5,2.559
eyebrows,8,3.546,6.719,2.969
eyelashes,9,5.063,6.5,2.273
eyes,4,5.441,6.765,2.5
fabric,6,3.886,6.147,3.303
fabricate,9,4.636,3.364,4.576
fabrication,11,4.382,3.226,4.875
fabulous,8,6.636,2.771,5.177
face,4,5.125,6.067,3.219
Facebook,8,4.971,5.943,5.114
facility,8,3.657,4.857,4.765
fact,4,4.576,4.667,4.697
faction,7,4.379,3.269,4.222
factory,7,3.206,6.371,5.727
fade,4,3.364,3.613,3.059
faded,5,3.75,3.061,2.97
faeces,6,3.029,6.265,3
fail,4,4.581,3.548,4.633
failure,7,3.971,2.667,5
faint,5,4.159,3.585,3.154
faint (colllapse),5,4.882,4.818,3.849
faint (weak),5,3.765,3.743,2.471
fair,4,4.406,2.667,4.094
fair (exhibition),4,5.324,5.294,4.324
fair (honest),4,4.606,2.758,4.647
fair (light),4,4.2,4.343,3.429
fair (weather),4,4.324,3.588,3.853
fairy,5,5.561,4.091,1.985
faith,5,4.406,2.286,5.294
faithful,8,5.543,2.5,5.371
fake,4,3.375,3.061,4.121
falcon,6,4.515,6.667,4.441
fall,4,4.118,4.188,4.333
fall (drop),4,3.765,4.606,4
fall (season),4,4.125,5.25,4.469
fallacy,7,4.333,2.724,4.286
FALSE,5,4.636,3.455,4.5
falter,6,4.467,2.871,3.5
fame,4,5.844,2.677,5.313
family,6,4.839,5,5.188
famous,6,6.303,2.546,5.387
fanciful,8,5.516,2.29,4.067
fans,4,5.086,4.943,4.697
fans (air),4,3.727,6.206,2.938
fans (sports),4,4.697,5.879,4.697
fantastic,9,7.03,2.971,5.4
fantasy,7,7.324,2.029,6
fare,4,3.912,4.853,3.353
fare (charge),4,3.25,4.879,3.788
fare (food),4,4.423,5.519,3.929
farewell,8,3.647,3.088,4.441
farm,4,3.875,6.267,4.143
farmer,6,3.161,6.382,3.882
fart,4,4,5.714,3
fascinating,11,6.938,2.364,5.394
fashion,7,6.324,4.088,4.879
fast,4,6.4,3.943,5.061
fast (quick),4,6.091,3.515,3.871
fast (starve),4,3.571,4.636,3.971
fat,3,4.029,5.333,5.088
fatal,5,5.629,4.629,5.429
fate,4,5.5,1.794,5.177
father,6,4.667,6,4.857
father (dad),6,4.515,6.143,4.97
father (priest),6,2.882,5.618,3.677
fatigue,7,2.781,3.212,3.936
fault,5,3.588,2.576,4.206
favour,6,4.688,3.088,4.697
fear,4,5.171,2.971,5.061
fearful,7,6.323,2.469,4.563
feat,4,4.267,3.655,5.035
feature,7,4.057,3.743,3.686
feeble,6,3.4,2.813,2.167
feet,4,3.206,6.585,3.015
feet (body),4,3.469,6.576,3.031
feet (length),4,3.471,5,3.5
feline,6,5.286,5.182,3.188
fence,5,3.742,6.517,3.871
ferret,6,4.469,6.828,2.419
ferry,5,4.212,6.529,4.394
festival,8,7.206,5.455,5.618
festive,7,6.906,4.086,5.143
feudal,6,4.8,2.759,4.5
feudalism,9,4.333,3.565,5.192
fever,5,5.344,5,4.438
few,3,2.714,3.829,1.886
fiber,5,3.387,5.548,2.581
fibre,5,3.529,5.177,2.324
fiction,7,4.647,3.936,3.939
fictitious,10,5,2.516,4.161
fiddle,6,5.088,5.706,3.029
fiddle (adjust),6,4.656,4.121,2.581
fiddle (violin),6,4.818,6.546,3.091
fiddler,7,5.177,5.324,3.735
field,5,3.697,6.182,5.469
fierce,6,6.091,3.088,5.059
fight,5,6.625,4.75,5.065
fighter,7,6.212,5.118,4.706
fighting,8,5.6,5.029,4.8
figment,7,4.065,2.167,3.233
figure,6,4.455,4.765,3.971
figure (body shape),6,5.677,5.229,4.353
figure (graph),6,2.677,5.152,3.177
figure (number),6,3.226,4.813,3.581
figure (reckon),6,3.455,2.706,3.912
file,4,3.031,5.818,2.906
file (record),4,3.063,5.242,3
file (tool),4,2.871,6.633,2.807
fill,4,3.8,4.353,4.229
filling,7,3.875,4.6,3.394
film,4,6.061,5.849,4.576
filter,6,3.061,4.455,3.118
filth,5,5.353,4.235,3.879
filthy,6,5.088,4.029,4.677
finance,7,4.059,4.677,5.303
financial,9,4.118,3.697,5.424
finger,6,4.939,6.571,2.657
fingers,7,3.914,6.657,2.457
finish,6,6.086,4.2,4.857
fire,4,7.548,6.364,5.333
fire (employment),4,5.714,4.114,4.886
fire (flames),4,6.571,6.324,5.677
fire (gun),4,5.353,5.355,4.324
fireman,7,5.844,6.588,4.6
fireplace,9,4.353,6.6,4.029
fireworks,9,7.313,6.485,5.636
firm,4,4.606,4.091,3.781
first,5,5.515,3.853,4.758
fish,4,3.727,6.667,2.344
fisherman,9,3.471,6.177,3.5
fist,4,5.333,6.303,3.471
fit,3,5.943,4.143,4.286
fit (convulsion),3,4.758,5.182,4.515
fit (healthy),3,6.97,4.371,4.743
fit (suitable),3,4.625,3.353,3.857
fizzy,5,5.767,4.469,2.968
flab,4,3,4.912,4.324
flabby,6,3.344,5.091,4.156
flap,4,3.581,5.457,2.971
flask,5,4.103,6.667,2.438
flatulence,10,3.733,5.233,3.677
flatulent,9,3.581,4.871,3.807
flea,4,2.656,6.424,1.4
flee,4,4.969,4.5,3.71
fleet,5,3.824,5.086,5.212
flesh,5,5.818,6.667,4.606
flick,5,4.758,4.438,2.647
flick (movement),5,6,4.882,2.333
flick (movie),5,5.121,5.938,4.091
flicker,7,4.765,4.333,2.758
flight,6,5.886,5.294,4.849
flint,5,3.345,5.969,2.452
flirt,5,7.571,3.229,4.177
flirty,6,7.2,3.059,4.343
float,5,4,4.879,3.909
flood,5,5.457,6.029,5.8
florist,7,4.5,6,3.97
flour,5,3.156,5.906,2.5
flourish,8,6.5,3.029,4.914
flow,4,4.057,4.086,4.206
flower,6,5.273,6.656,2.727
fluent,6,5.794,3.121,4.281
fluid,5,4.5,5.429,3.636
flute,5,4.636,6.71,2.548
flutter,7,5.563,3.656,2.625
fly,3,5.406,5.516,3.531
fly (insect),3,2.971,6.382,1.471
fly (through air),3,6.594,4.471,4.824
foam,4,4.839,5.968,2.844
fodder,6,3.536,4.75,3.407
foggy,5,3.813,4.839,4.531
foible,6,5.067,2.533,3.357
foil,4,3.471,5.657,2.8
foil (metal),4,3.371,6.171,2.853
foil (prevent),4,4.424,2.818,3.706
fold,4,3.323,4.5,2.813
folder,6,2.939,6.382,3.143
folk,4,4,4.618,4.057
follow,6,3.906,3.438,3.844
folly,5,4.138,3.192,3.577
fond,4,5.114,2.943,3.571
food,4,6.735,6.313,4.242
fool,4,4.594,3.818,3.735
foolish,7,5,2.818,4.303
foot,4,3.758,6.552,2.375
foot (body),4,2.765,6.735,2.364
foot (length),4,3.486,5.588,3.485
football,8,3.807,6.31,3.546
forage,6,4.655,3.759,3.903
force,5,5.457,4.471,5.455
forceful,8,5.912,3.314,5.294
ford,4,3.281,5.563,4.452
forehead,8,3.382,6.714,3.4
foreign,7,5.091,3.576,4.364
foreigner,9,4.697,4.061,3.906
forest,6,5.188,6.594,6.097
forge,5,4.781,3.719,4.613
forget,6,3.429,2.706,3.686
forgetful,9,3.229,2.647,3.727
fork,4,3.53,6.6,2.358
fork (cutlery),4,3.177,6.771,2.194
fork (road),4,3.909,5.727,4
form,4,3.529,3.939,3.667
formation,9,4.2,3.656,4.781
former,6,3.125,2.281,3.563
fort,4,5.029,6.171,5.735
fortress,8,5.281,6.182,6.03
fortuitous,10,5.583,2.333,4.565
fortunate,9,5,2.618,4.909
fortune,7,6.714,3.571,5.824
forty,5,3.677,3.394,4.438
forum,5,3.059,4.765,4.029
fought,6,5.514,3.943,4.914
foul,4,4.094,2.686,3.2
foul (disgusting),4,3.771,2.647,4.571
foul (penalty),4,3.625,3.781,3.742
fountain,8,5.177,6.719,4.8
fowl,4,3.75,4.333,3.813
fox,3,3.968,6.677,3.061
foxes,5,5,6.741,2.97
foxy,4,6.516,3,4.033
fragrance,9,5.571,5.029,3.714
fragrant,8,5.576,3.688,3.912
frail,5,3.061,3.758,2.606
frame,5,3.5,5.794,2.939
franchise,9,3.941,4.818,5.667
frank,5,3.516,3,3.588
frantic,7,5.771,3.091,4.5
fraud,5,5.152,3.941,4.714
freak,5,5.933,3.091,4.233
freaky,6,5.879,2.733,4.069
freckle,7,4.618,6.457,1.571
free,4,6.886,2.4,5.171
freed,5,6.156,3.219,5.636
freedom,7,7.2,2.229,6.143
freeze,6,3.939,4.771,3.546
fresh,5,6.235,3.938,3.97
friction,8,5.143,4.563,4.177
fridge,6,3.771,6.771,4.222
friend,6,6.788,5.485,5.333
friendly,8,6.677,2.697,5
friendship,10,7.088,3.455,5.818
fright,6,6.563,2.485,4.452
frightened,10,6.226,2.9,4.469
frightening,11,6.033,2.906,5.194
frigid,6,3.625,3.03,3.742
frock,5,5.032,6.032,2.781
frog,4,4.129,6.778,2.129
froth,5,5.032,5.313,2.5
frown,5,3.971,5.088,3.353
frozen,6,4.457,5.6,3.886
frugal,6,3.731,3,3.808
frustrate,9,5.686,2.771,4.886
frustrated,10,4.559,2.794,4.412
frustration,11,5.114,2.441,5.029
fuck,4,7.188,3.303,4.625
fuck (exclamation),4,7.088,2.909,5.229
fuck (sex),4,8.059,4.849,5.529
fucker,6,6.281,3.471,4.647
fucks,5,7,4.469,4.71
fuel,4,4.057,5.8,3.941
full,4,4.485,3.936,5.364
fun,3,7.091,3.097,5.03
function,8,3.667,3.758,4.424
fund,4,4.912,4.471,4.618
funeral,7,3.794,5.765,4.677
fungal,6,2.971,5.353,2.758
fungus,6,2.697,6.171,2.882
funky,5,6.441,2.257,4
funny,5,7.371,2.971,4.912
fur,3,4.121,6.242,3.364
furious,7,6.429,3.314,5.429
furniture,9,3.314,6.286,4.697
furry,5,5.118,5.2,2.853
fury,4,5.794,3.265,5.571
fuse,4,4.556,5.576,3.057
fusion,6,5.818,3.75,4.469
fuss,4,4.265,2.5,4
futile,6,4.324,3,3.25
future,6,6.594,3.091,6.161
gadget,6,5.758,5.735,3.059
gag,3,5.273,4.265,3.382
gag (choker),3,4.257,5.886,3.314
gag (joke),3,5.333,3.735,3.177
gaiety,6,5.115,2.926,4.333
gain,4,4.788,3.429,4.412
gala,4,4.057,4.543,4.529
galaxy,6,6.281,5.125,6.742
gale,4,4.667,5.094,5.265
gallant,7,5.414,3.25,5
galleon,7,3.667,5.429,4.462
gallery,7,3.844,6.031,5.032
galley,6,3.577,5.333,4.154
game,4,5.636,4.625,4
game (animal),4,4.364,5.813,3.75
game (sport),4,4.563,5.412,4.794
garbage,7,2.853,6.242,4.242
garden,6,5.727,6.382,4.647
gardener,8,3.514,6.471,3.636
gardens,7,4.788,6.394,5.324
garlic,6,4.563,6.71,1.844
garment,7,4.032,5.781,3.31
garter,6,5.172,5.875,2.219
gash,4,5.212,5.382,3.471
gasp,4,6.171,4.943,3.857
gastric,7,3.258,4.645,3.645
gate,4,3.457,6.571,3.257
gather,6,3.912,3.429,4.219
gaunt,5,4.03,4.035,3.067
gay,3,4.429,3.97,4.118
gay (homosexual),3,4.771,4.657,4.794
gay (joyous),3,6.364,3.515,4.606
gaze,4,4.882,3.794,3.697
gazelle,7,5.531,6.303,4.182
gear,4,4.177,5.455,3.387
gem,3,5.629,6.088,2.6
gender,6,4.667,4.382,4.677
general,7,3.286,2.943,4.029
general (common),7,3.265,3.242,4.147
general (military),7,4.943,5.824,5.455
generation,10,4.813,3.743,5.441
generous,8,6.143,2.743,5.514
genes,5,4.125,4.758,4.129
genius,6,7.406,3.323,5.364
genocide,8,6.219,4.625,6.688
gentle,6,5.147,2.657,3.294
gentleman,9,5.375,4.419,4.75
geologist,9,2.758,5.813,3.882
geology,7,3,4.971,4.909
gerbil,6,3.781,6.656,2.065
germinate,9,3.576,4.938,3.156
germs,5,4.273,5.688,2.971
gesture,7,5.094,3.968,4.265
ghastly,7,4.412,2.303,4.265
ghetto,6,4.829,4.8,5.382
ghost,5,5.364,3.606,3.706
ghoul,5,4.727,3.75,3.871
giant,5,5.531,4.343,6.324
gift,4,6.129,5.226,4
giggle,6,6.943,4.314,3.294
gin,3,5.714,6.257,3.229
gingerbread,11,5.061,6.515,2.667
giraffe,7,4.829,6.912,5.5
girdle,6,3.742,5.324,3.121
girl,4,5.394,6.387,3.667
girls,5,5.971,6.355,4.375
girly,5,4.941,3.257,3.343
gist,4,3.559,2.4,3.677
give,4,4.625,3.625,4.333
glacial,7,5.548,4.625,5.719
glacier,7,5.059,6.086,5.909
glad,4,5.813,2.906,4.219
glamorous,9,6.788,2.613,4.424
glamour,7,5.807,2.875,4.387
glance,6,4.6,3.531,1.933
glanced,7,4.265,4.091,2.765
glass,5,4.818,6.452,3.121
glasses,7,3.824,6.765,2.941
glasses (drinks),7,4.714,6.314,2.886
glasses (eye),7,3.333,6.647,2.706
glee,4,6.242,2.8,4.559
glimpse,7,4.382,3.229,2.706
glitter,7,5.857,5.677,2.4
gloat,5,3.613,2.546,3.938
global,6,5.576,3.818,6.486
globe,5,4.706,6.206,6.333
gloom,5,2.882,2.618,4.273
gloomy,6,2.936,3.161,3.71
glorious,8,7.057,2.543,4.943
glory,5,6.5,2.469,5.743
glove,5,4.065,6.455,2.647
gloves,6,3.235,6.677,2.088
glow,4,6.059,4.313,4
glowing,7,6.424,4.353,4.353
glue,4,3.147,6.265,2.594
goal,4,5.594,4.455,4.765
goat,4,3.807,6.862,3.031
goblet,6,4.657,6.177,3.514
goblin,6,4.2,4.771,3.265
god,3,4.563,2.273,6
goddess,7,6.229,2.912,5.857
gods,4,5.152,2.857,5.886
goggles,7,3.788,6.226,3.091
gold,4,6.471,6.515,4.5
golden,6,5.8,4.765,4.794
goldfish,8,3.438,6.727,2.061
golf,4,3.849,6.364,3.394
golfer,6,3.471,6.324,3.818
good,4,5.853,2.813,4.774
goodbye,7,3.829,3.677,4.857
goodness,8,6.344,2.406,5.188
goofy,5,4.912,2.824,3.353
goose,5,3.686,6.429,2.971
gore,4,6.161,4.219,4.097
gorge,5,4.788,4.875,4.971
gorge (canyon),5,5.406,6.143,6.314
gorge (overeat),5,4.667,4.4,4.794
gorgeous,8,7.371,2.824,5.2
gorilla,7,4.29,6.906,4.839
gossip,6,5.571,3,4.543
gothic,6,4.719,4.03,4.394
govern,6,4.394,3,5.455
government,10,3.849,5.529,5.844
grab,4,5.387,4.719,4.065
grace,5,4.686,2.714,4.324
graceful,8,5.057,2.936,4.171
grade,5,4.625,3.849,3.906
grade (mark),5,4.147,4.647,4.061
grade (slope),5,3.257,4.706,4.471
gradual,7,3.333,3.177,3.546
graduate,8,6.177,5.471,5.235
graduation,10,6.394,5.086,5.941
grain,5,3.324,6.257,1.441
grain (sand),5,3.486,6.429,1.371
grain (wheat),5,2.394,6.188,2.03
grammar,7,3.114,3.706,3.8
grampa,6,4,6.281,4.485
grandfather,11,4.177,6.419,5.029
grandma,7,3.794,6.412,3.531
grandmother,11,4.229,6.389,4.543
grandpa,7,4.031,5.936,4.25
granite,7,3.061,6.485,4.606
granny,6,3.5,6.455,3.364
grape,5,4.5,6.567,1.548
grapes,6,4.441,6.6,1.882
graph,5,2.853,5.636,3.031
graphic,7,4.829,3.912,4.147
grasp,5,5.235,3.853,3.618
grass,5,3.813,6.563,3.419
grasshopper,11,3.886,6.4,1.412
grateful,8,5.059,2.939,4.909
gratitude,9,5.429,2.546,5.457
grave,5,4.688,5.563,3.515
grave (cemetary),5,3.706,6.457,5.265
grave (serious),5,4.559,2.886,4.941
gravel,6,3.194,6.345,2.6
gravity,7,5.032,4.03,6.065
grease,6,3,5.714,3.314
great,5,6.212,2.879,5.765
greed,5,4.485,3.206,4.906
greedy,6,4.5,3.531,5.032
green,5,5.156,4.733,4.031
green (colour),5,4.588,4.647,3.886
green (environmental),5,4.394,3.375,5.727
green (naive),5,3.839,2.833,3.194
greet,5,5.265,3.647,3.606
grenade,7,5.343,6.333,3.771
grey,4,2.303,5.059,3.412
griddle,7,3.5,5.926,3.036
grief,5,4.875,3.143,5.424
grieve,6,4.059,3.143,5.343
grim,4,3.8,3.143,4.235
grime,5,3.194,4.939,3.394
grin,4,5.829,5.514,4.029
grind,5,4.771,4.229,3.152
gripe,5,3.966,3,3.5
groom,5,4.719,5.647,4.059
groom (bride),5,5.583,6.273,4.286
groom (look after),5,5,3.667,3.546
gross,5,3.706,2.849,4.394
grotesque,9,5.313,3.697,4.844
ground,6,3.061,6.394,5.219
grow,4,5.484,3.581,5.032
growl,5,5.371,4.588,4
guard,5,5.273,5.29,4.419
guest,5,4.938,4.567,3.781
guide,5,4.182,4.588,3.824
guided,6,4.088,3.371,4.206
guilt,5,4.625,2.529,5.529
guilty,6,5.563,2.771,4.971
guitar,6,5.548,6.677,3.906
gullet,6,3.654,5.577,2.962
gullible,8,3.849,2.6,3.629
gun,3,5.571,6.441,3.647
gym,3,5.212,6.455,4.032
gymnast,7,5.471,6.161,3.5
gymnastics,10,5.406,4.97,4.563
habit,5,3.438,3.758,3.825
habit (nun),5,3.281,5.433,3.375
habit (smoking),5,3.697,4.097,4.8
habituate,9,3.483,2.067,4.2
hackney,7,3.75,4.724,3.821
hair,4,4.938,6.621,2.633
hairdryer,9,3.206,6.853,2.706
half,4,3.629,4.636,3.177
hall,4,2.867,5.968,4.469
hallucination,13,5.059,3.382,5.235
hallway,7,2.4,6.455,3.849
ham,3,3.636,6.647,2.588
hamlet,6,4.097,5.161,3
hammer,6,4.829,6.657,3.543
hammered,8,5.546,3.879,4.121
hammered (drunk),8,5.829,3.457,4.514
hammered (nail),8,4.457,5.265,3.471
hammock,7,4.152,6.258,3.588
hamster,7,3.5,6.794,1.771
hand,4,3.794,6.667,2.943
handbag,7,4.485,6.485,2.818
handful,7,4.353,4.273,3.515
handicapped,11,3.882,4.531,4.294
handkerchief,12,3.031,6.606,2.061
handle,6,3.412,5.697,2.941
handler,7,3.546,4.324,3.938
hands,5,5.258,6.433,3.258
handsome,8,6.914,3.412,4.765
handy,5,4.697,3.353,4
hang,4,4.212,3.97,3.742
hanged,6,5.152,5.2,4.514
hankering,9,4.267,2.424,3.594
hanky,5,3.177,5.781,2.333
haphazard,9,4.586,2.484,4.1
happily,7,6.771,2.412,5.114
happiness,9,6.97,2.971,5.529
happy,5,6.938,2.594,5.1
harbour,7,3.118,6.588,4.625
hard,4,5,4.387,4.581
hard (not easy),4,4.257,3.429,4.412
hard (not soft),4,5.121,5.156,4.265
hardship,8,4.303,2.441,5
harm,4,4.813,3.758,4.636
harmful,7,4.765,2.97,5.294
harmonica,9,4.088,6.765,2.765
harmony,7,5.406,2.9,4.813
harness,7,5.313,5.212,3.469
harp,4,4.716,6.387,3.656
harp (instrument),4,4.061,6.771,4.029
harp (pick on),4,4.849,4.636,3.788
harpsichord,11,5.391,6.546,3.87
harsh,5,4.857,3.514,4.486
harvest,7,4.933,5,5.355
hat,3,3.156,6.758,2.939
hatch,5,3.882,5.529,3.343
hate,4,5.147,3.143,5.455
hatred,6,5.727,3.548,5.697
have,4,4.438,3.5,4.059
haven,5,4.941,2.914,5.147
hawk,4,5.576,6.727,3.469
hawk (bird),4,5.5,6.706,3.727
hawk (sell),4,4.031,3.533,3.483
hay,3,2.758,6.094,2.807
hazard,6,5.206,4.324,4.971
haze,4,4.147,3.471,3.813
head,4,4.343,6.514,3.229
head (body),4,4.824,6.706,3.5
head (leader),4,5.235,4.686,5.4
head (semen),4,5.788,5.727,2.656
headache,8,3.257,4.727,4.343
headlights,10,3.424,6.121,3.097
headphones,10,5,6.882,3
headquarters,12,4.844,5.794,5.629
heal,4,4.088,3.677,4.719
health,6,5.406,3.968,5.548
healthy,7,5.743,3.714,4.714
hear,4,4.375,4.563,4.441
heard,5,4.1,3.706,3.529
hearing,7,4.636,4.091,4.235
hearing (court),7,3.571,4.714,5.242
hearing (ear),7,4.606,4.941,4.394
