Words,Length,AROU,CNC,SIZE
,,M,M,M
arrive,6,4.971,4.177,4
arrogant,8,4.5,3.25,4.807
arrow,5,4.4,6.412,3.029
arrows,6,4.382,6.033,3.273
arse,4,5.094,6,3.313
arsehole,8,4.5,4.794,3.765
arson,5,5.206,4.714,5.394
art,3,6.394,4.382,5.375
artist,6,5.235,5.546,4.515
arts,4,5.206,3.543,4.697
ascend,6,5.677,3.8,4.882
ascent,6,5.343,4.029,4.743
ashamed,7,4.182,2.727,4.576
ashes,5,3.912,5.686,2.714
aspect,6,3.857,2.6,3.471
aspirin,7,3.849,5.903,2.188
ass,3,5.333,6.382,3.857
ass (donkey),3,3.912,6.813,3.486
ass (insult),3,4.697,2.807,3.781
assassin,8,6.588,5.697,4.879
assassinate,11,6.088,4.971,5.788
assault,7,5.188,4.118,5.219
asshole,7,4.941,4.647,3.771
assist,6,4.758,3.441,3.853
assistant,9,3.853,5.4,3.657
assuring,8,4.645,2.29,4.531
asteroid,8,6,6.029,5.546
asthma,6,3.667,5.457,4.059
astonish,8,6.394,2.6,4.455
astonished,10,6.429,2.5,5.457
astronaut,9,5.515,6.424,4.419
astronomer,10,5.156,5.333,4.394
astronomy,9,5.118,4.394,6.257
athletic,8,5.656,4.546,4.559
athletics,9,4.118,5.412,4.364
atmosphere,10,5.938,3.645,6.161
atom,4,4.171,5.485,1.943
atomic,6,5.844,4.576,5.294
atoms,5,4.818,5.364,2.667
atrocious,9,5.594,2.212,5.188
atrocity,8,4.971,3.194,5.903
attack,6,5.353,4.441,5.147
attacker,8,5.114,5.697,5.265
attempt,7,3.727,3.629,4.059
attendant,9,3.771,5.829,3.829
attention,9,5.882,3.229,4.853
attic,5,3.969,6.4,4.125
attitude,8,5.303,2.788,5.182
attract,7,7.057,3.029,4.914
attraction,10,7.206,2.629,5.147
attractive,10,7.471,2.875,5.177
attribute,9,4.5,2.735,4.618
auction,7,3.559,5.314,4.206
auctioneer,10,3.516,5.7,3.903
audience,8,4.727,5.697,5.563
auditorium,10,4.382,6.455,5.667
aunt,4,4.286,5.677,4.061
authentic,9,5.061,3.182,4.344
author,6,4.735,5.576,3.677
autopsy,7,5.235,5.353,4.424
autumn,6,4.971,4.686,4.486
avalanche,9,6.625,6.033,6.344
avenge,6,6.656,2.455,5.233
avenue,6,3.774,5.375,4.406
award,5,6.294,5.618,4.794
awarded,7,5.967,3.156,4.969
aware,5,5.529,2.629,5
away,4,3.594,3.086,3.912
awe,3,6.657,2.529,5.314
awesome,7,6.688,2.061,5.161
awful,5,3,2.206,4.429
awkward,7,5,2.844,4.114
axe,3,5.152,6.412,3.677
axle,4,3.429,5.929,3.429
baboon,6,3.971,6.571,4.114
baby,4,4.29,6.607,2.546
background,10,3.625,3.485,5.273
bacon,5,6.242,6.559,2.765
bacteria,8,4.059,5.618,2.206
bad,3,5.059,2.771,4.667
badge,5,3.03,6.529,2.559
badger,6,3.849,6.667,3.412
bag,3,3.727,6.607,2.968
baggage,7,4.097,5.621,4.125
bail,4,3.613,3.912,4
bait,4,4.867,4.807,2.438
bake,4,5.559,5.171,3.559
baker,5,4.543,6.286,3.886
bald,4,2.697,5.879,2.906
ball,4,4.433,6.6,2.71
ball (dance),4,5.657,5.543,4.629
ball (sphere),4,4.152,6.029,3.286
balloon,7,4.849,6.031,3.265
ballroom,8,4.735,6.559,5.177
bamboo,6,3.424,6.514,3.471
ban,3,3.818,3.576,3.97
banal,5,2.818,2.632,3.191
banana,6,5.03,6.6,2.647
band,4,5.094,5.781,4.121
band (music),4,6.286,5.559,4.471
band (ribbon),4,3.353,6.364,2.235
bandage,7,4.2,5.971,2.8
bandit,6,5.818,5.226,4.182
bandits,7,5.182,5.353,4.118
bang,4,6.364,4.353,5.4
banjo,5,4.636,6.486,3.057
bank,4,3.771,5.714,5.147
bank (money),4,4.677,6.152,5.258
bank (rely),4,3.546,3.152,3.818
bank (river),4,3.353,5.788,4.563
banker,6,3.294,6.235,3.758
bankrupt,8,4.156,4.606,4.839
banks,5,3,5.571,4.914
banks (money),5,4.576,5.938,5.765
banks (river),5,3.469,5.906,4.781
banner,6,4.323,5.967,3.774
bar,3,5.147,6.265,4.091
bar (legal),3,3.818,4.571,3.909
bar (metal),3,2.939,6.588,3.03
bar (musical),3,5.235,5.177,3.212
bar (pub),3,5.758,6.371,4.571
bare,4,5.194,3.938,3.467
barely,6,3,2.971,2.118
barge,5,4.156,5.688,4.697
barge (boat),5,3.629,6.486,5.343
barge (push),5,5.061,4.606,4.242
bark,4,4.886,4.941,3.629
bark (dog),4,4.912,5.057,3.879
bark (tree),4,3.606,6.063,3.382
barley,6,2.636,6.412,2.303
barn,4,3.324,6.546,4.714
barnacle,8,3.75,6.2,2.094
baroque,7,4.539,4.042,4.24
barrage,7,4.138,4.533,5.241
barrel,6,3.333,6.636,3.419
barrier,7,3.882,5.735,4.765
basement,8,3.75,5.971,3.882
basket,6,3.257,6.2,2.857
basketball,10,4.5,6.576,3.088
bass,4,3.969,5,3.886
bass (fish),4,3.485,6.171,2.294
bass (guitar),4,5.353,6.257,4.171
bassoon,7,4.138,6.667,4.16
bastard,7,6.031,4.281,4.621
bastards,8,5.031,3.303,4.438
bat,3,4.939,6.69,2.438
bat (animal),3,3.857,6.714,2.429
bat (club),3,4,6.152,3.406
bath,4,4.807,6.586,3.75
bathroom,8,3.546,6.686,3.813
battered,8,5.031,4.875,4.677
battery,7,3.818,6.406,2.743
battle,6,5.576,5.387,6.059
bayonet,7,4.581,6.033,3.774
bazooka,7,5.548,6,4.433
beach,5,6.167,6.516,5.452
bead,4,3.758,6.281,1.71
beagle,6,3.875,6.419,3.063
beak,4,3.029,6.441,2.394
beaker,6,3.182,6.394,2.97
bean,4,3.529,6.743,1.5
bear,4,5.394,6.483,5.433
beard,5,4.5,6.485,3.354
beast,5,6.209,4.646,5.588
beat,4,4.97,4.2,3.879
beat (hit),4,4.824,5.242,4.125
beat (mix),4,4.546,4.849,3.559
beat (rhythm),4,6.6,4.472,4.229
beaten,6,4.758,3.879,4.697
beautician,10,4.182,5.594,3.515
beautiful,9,7.029,2.515,5.333
beauty,6,6.781,2.727,4.625
beaver,6,4.697,6.793,3
become,6,5.323,2.188,4.807
bed,3,5.242,6.657,4.294
bee,3,4.727,6.844,1.727
beef,4,4.849,6.471,3.333
beehive,7,5.265,6.353,3.147
beer,4,5.177,6.629,3
beet,4,3.167,5.429,2.8
beetle,6,3.265,6.677,1.657
befall,6,3.758,2.625,3.194
beg,3,4.2,3.647,3.559
beggar,6,3.031,5.844,2.968
begin,5,4.941,3,3.667
beginning,9,5.469,3.152,4.546
behalf,6,3.629,2.706,3.75
behave,6,3.7,3.188,4.226
behaviour,9,4.886,3.143,4.686
behind,6,4.303,4.177,3.727
beige,5,2.594,4.273,2.818
belfry,6,3.867,5.438,3.588
belief,6,5.333,2.824,5.529
believe,7,5.667,2.258,4.867
bell,4,4,6.647,2.794
